eta	eta_source	score	best_index	randomization	d1	d2	j2	status	copied_files	missing_optional_files	dest	folder	prefix	verification_status	verification_abs_error
0.05	0.05	-0.00034083201168222388	4999	3	5	4	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.05	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.05_d1=5_d2=4	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.05_d1=5_d2=4/j2=0_randomization=3_	verified	0
0.10	0.10	-0.00011867155411704466	4999	4	2	4	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.10	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.10_d1=2_d2=4	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.10_d1=2_d2=4/j2=0_randomization=4_	verified	0
0.15	0.15	0.16300693275898936	4999	5	4	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.15	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.15_d1=4_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.15_d1=4_d2=1/j2=0_randomization=5_	verified	0
0.20	0.20	0.47840360328182685	4999	9	3	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.20	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.20_d1=3_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.20_d1=3_d2=1/j2=0_randomization=9_	verified	0
0.25	0.25	0.72049369983898104	4998	4	3	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.25	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.25_d1=3_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.25_d1=3_d2=1/j2=0_randomization=4_	verified	0
0.30	0.30	0.68585497989500288	4999	1	2	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.30	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.30_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.30_d1=2_d2=1/j2=0_randomization=1_	verified	0
0.35	0.35	0.73126073683581749	4999	3	2	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.35	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.35_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.35_d1=2_d2=1/j2=0_randomization=3_	verified	0
0.40	0.40	0.59390529662586111	4998	3	2	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.40	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.40_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.40_d1=2_d2=1/j2=0_randomization=3_	verified	0
0.45	0.45	0.32088454735378225	4986	0	2	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.45	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.45_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.45_d1=2_d2=1/j2=0_randomization=0_	verified	0
0.50	0.50	0.0031722640973084193	4996	2	3	1	0	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.50	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.50_d1=3_d2=1	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.50_d1=3_d2=1/j2=0_randomization=2_	verified	0
0.55	0.55	0.19562362227258268	217	4	3	3	1	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.55	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.55_d1=3_d2=3	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.55_d1=3_d2=3/j2=1_randomization=4_	verified	0
0.60	0.60	0.40017358866528951	4999	8	2	2	1	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.60	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.60_d1=2_d2=2	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.60_d1=2_d2=2/j2=1_randomization=8_	verified	0
0.65	0.65	0.58889902730026744	4999	8	4	5	4	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.65	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.65_d1=4_d2=5	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.65_d1=4_d2=5/j2=4_randomization=8_	verified	0
0.70	0.70	0.79834671324698103	3787	5	4	5	4	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.70	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.70_d1=4_d2=5	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.70_d1=4_d2=5/j2=4_randomization=5_	verified	0
0.75	0.75	1.0047596124020222	3616	5	5	5	4	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.75	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.75_d1=5_d2=5	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.75_d1=5_d2=5/j2=4_randomization=5_	verified	0
0.80	0.80	1.2283494695034642	2236	8	5	5	1	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.80	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.80_d1=5_d2=5	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.80_d1=5_d2=5/j2=1_randomization=8_	verified	0
0.85	0.85	1.4563415993066036	33	4	5	4	3	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.85	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.85_d1=5_d2=4	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.85_d1=5_d2=4/j2=3_randomization=4_	verified	0
0.90	0.90	1.7004858357075816	3604	0	5	5	1	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.90	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.90_d1=5_d2=5	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.90_d1=5_d2=5/j2=1_randomization=0_	verified	0
0.95	0.95	1.9363271887156528	3846	3	5	5	1	selected	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,best_index.txt,best_feasible_ci.txt,source_info.json,state_RS.npy,state_P.npy		/home1/liaopeng/QuantumTransduction/94/Data-Download/eta=0.95	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.95_d1=5_d2=5	/home1/liaopeng/QuantumTransduction/94/Data/eta=0.95_d1=5_d2=5/j2=1_randomization=3_	verified	0
